Year,Month,Timestamp,Temperature_C,pH,Dissolved_oxygen_mg_L,Turbidity (NTU),Fish_length
2025,1,00:00:00,26.93,7.71,4.28,3.3,5.02
2025,1,00:30:00,27.34,7.62,4.91,3.3,5.02
2025,1,01:00:00,27.92,7.72,4.92,3.3,5.02
2025,1,01:30:00,28.37,7.68,4.92,3.3,5.02
2025,1,02:00:00,28.53,7.7,5.59,3.3,5.02
2025,1,02:30:00,29.04,7.8,5.42,3.3,5.02
2025,1,03:00:00,28.97,7.77,5.85,3.3,5.02
2025,1,03:30:00,28.93,7.78,6.37,3.3,5.02
2025,1,04:00:00,28.77,7.8,6.96,3.3,5.02
2025,1,04:30:00,28.23,7.77,7.05,3.3,5.03
2025,1,05:00:00,27.99,7.83,7.16,3.3,5.02
2025,1,05:30:00,27.49,7.87,7.3,3.3,5.02
2025,1,06:00:00,27.17,7.83,7.38,3.3,5.01
2025,1,06:30:00,26.43,7.87,7.57,3.3,5.03
2025,1,07:00:00,26.17,7.89,7.58,3.3,5.01
2025,1,07:30:00,25.37,7.74,7.46,3.3,5.01
2025,1,08:00:00,25.46,7.88,6.54,3.3,5.02
2025,1,08:30:00,25.46,7.87,6.18,3.3,5.02
2025,1,09:00:00,24.93,7.89,6.05,3.3,5.02
2025,1,09:30:00,25.08,7.78,5.62,3.3,5.02
2025,1,10:00:00,25.25,7.89,5.18,3.3,5.02
2025,1,10:30:00,25.55,7.85,4.98,3.3,5.02
2025,1,11:00:00,25.94,7.89,4.9,3.3,5.02
2025,1,11:30:00,26.4,7.92,4.93,3.3,5.02
2025,1,12:00:00,26.88,7.89,4.75,3.3,5.06
2025,1,12:30:00,27.51,7.93,4.38,3.3,5.06
2025,1,13:00:00,27.88,7.95,4.61,3.3,5.06
2025,1,13:30:00,28.53,7.92,4.7,3.3,5.07
2025,1,14:00:00,28.64,7.87,5.14,3.3,5.07
2025,1,14:30:00,29.21,7.95,5.8,3.3,5.05
2025,1,15:00:00,29.13,8,6.13,3.3,5.06
2025,1,15:30:00,29.03,7.93,6.57,3.3,5.06
2025,1,16:00:00,28.89,7.91,6.93,3.3,5.05
2025,1,16:30:00,28.61,8.01,6.94,3.3,5.05
2025,1,17:00:00,28.09,7.98,7.48,3.3,5.05
2025,1,17:30:00,27.39,8.07,7.46,3.3,5.05
2025,1,18:00:00,26.99,8.01,7.81,3.3,5.06
2025,1,18:30:00,26.49,8.05,7.8,3.3,5.06
2025,1,19:00:00,26.19,8.05,7.02,3.3,5.05
2025,1,19:30:00,25.71,8.05,7.01,3.3,5.06
2025,1,20:00:00,25.15,8.04,6.49,3.3,5.06
2025,1,20:30:00,25.29,7.99,6,3.3,5.06
2025,1,21:00:00,25.07,8,6,3.3,5.07
2025,1,21:30:00,24.87,8,5.66,3.3,5.06
2025,1,22:00:00,25.19,7.94,5.08,3.3,5.06
2025,1,22:30:00,25.42,7.98,5.04,3.3,5.06
2025,1,23:00:00,25.91,7.92,5.1,3.3,5.06
2025,1,23:30:00,26.54,7.99,4.36,3.3,5.06
2025,1,00:00:00,27,8,4.99,3.3,5.09
2025,1,00:30:00,27.5,7.91,4.62,3.3,5.09
2025,1,01:00:00,27.96,7.82,4.92,3.3,5.11
2025,1,01:30:00,28.35,7.95,4.68,3.3,5.10
2025,1,02:00:00,28.76,8.04,5.07,3.3,5.10
2025,1,02:30:00,28.66,8.01,5.53,3.3,5.08
2025,1,03:00:00,29.05,7.99,6.15,3.3,5.09
2025,1,03:30:00,28.82,8.02,6.51,3.3,5.09
2025,1,04:00:00,28.4,7.88,6.57,3.3,5.09
2025,1,04:30:00,28.58,7.97,7.05,3.3,5.09
2025,1,05:00:00,27.93,7.92,7.17,3.3,5.10
2025,1,05:30:00,27.67,7.99,6.96,3.3,5.09
2025,1,06:00:00,27.11,7.94,7.51,3.3,5.10
2025,1,06:30:00,26.42,7.84,7.27,3.3,5.09
2025,1,07:00:00,26.18,7.85,7.19,3.3,5.09
2025,1,07:30:00,25.71,7.83,7.16,3.3,5.09
2025,1,08:00:00,25.29,7.9,7.04,3.3,5.10
2025,1,08:30:00,24.98,7.95,6.03,3.3,5.09
2025,1,09:00:00,24.98,7.84,5.74,3.3,5.09
2025,1,09:30:00,25.03,7.84,5.75,3.3,5.09
2025,1,10:00:00,25.17,7.84,5.07,3.3,5.10
2025,1,10:30:00,25.65,7.88,5.19,3.3,5.09
2025,1,11:00:00,26.07,7.94,5.08,3.3,5.09
2025,1,11:30:00,26.37,7.8,4.62,3.3,5.09
2025,1,12:00:00,27.33,7.9,4.35,3.3,5.11
2025,1,12:30:00,27.58,7.78,4.56,3.3,5.12
2025,1,13:00:00,28.23,7.82,4.64,3.3,5.12
2025,1,13:30:00,28.45,7.78,4.85,3.3,5.12
2025,1,14:00:00,28.53,7.78,5.5,3.3,5.12
2025,1,14:30:00,28.88,7.71,5.65,3.3,5.12
2025,1,15:00:00,29.12,7.71,5.96,3.3,5.12
2025,1,15:30:00,28.99,7.81,6.34,3.3,5.11
2025,1,16:00:00,28.76,7.67,6.98,3.3,5.11
2025,1,16:30:00,28.24,7.86,7.29,3.3,5.12
2025,1,17:00:00,28.05,7.72,7.45,3.3,5.11
2025,1,17:30:00,27.55,7.68,7.34,3.3,5.12
2025,1,18:00:00,26.95,7.69,7.28,3.3,5.12
2025,1,18:30:00,26.46,7.71,7.46,3.3,5.12
2025,1,19:00:00,26.12,7.75,7.29,3.3,5.11
2025,1,19:30:00,25.71,7.69,6.94,3.3,5.11
2025,1,20:00:00,24.99,7.61,6.47,3.3,5.12
2025,1,20:30:00,25.02,7.65,5.95,3.3,5.11
2025,1,21:00:00,24.95,7.63,5.8,3.3,5.12
2025,1,21:30:00,25.27,7.62,5.32,3.3,5.12
2025,1,22:00:00,25.14,7.61,5.39,3.3,5.11
2025,1,22:30:00,25.69,7.57,5.1,3.3,5.12
2025,1,23:00:00,26.13,7.46,4.44,3.3,5.11
2025,1,23:30:00,26.34,7.52,4.76,3.3,5.12
2025,1,00:00:00,27.19,7.66,4.57,3.3,5.16
2025,1,00:30:00,27.67,7.55,4.79,3.3,5.17
2025,1,01:00:00,28.02,7.57,4.7,3.3,5.16
2025,1,01:30:00,28.52,7.39,4.69,3.3,5.17
2025,1,02:00:00,28.55,7.54,5.6,3.3,5.17
2025,1,02:30:00,28.87,7.53,5.97,3.3,5.18
2025,1,03:00:00,29.04,7.57,6.04,3.3,5.16
2025,1,03:30:00,28.99,7.55,6.45,3.3,5.17
2025,1,04:00:00,28.58,7.45,6.76,3.3,5.16
2025,1,04:30:00,28.7,7.49,7.01,3.3,5.17
2025,1,05:00:00,28.27,7.54,7.2,3.3,5.17
2025,1,05:30:00,27.57,7.39,7.65,3.3,5.16
2025,1,06:00:00,26.85,7.45,7.39,3.3,5.17
2025,1,06:30:00,26.78,7.3,7.51,3.3,5.17
2025,1,07:00:00,25.84,7.44,7.35,3.3,5.16
2025,1,07:30:00,25.46,7.38,7.23,3.3,5.16
2025,1,08:00:00,25.17,7.4,7.08,3.3,5.17
2025,1,08:30:00,24.94,7.36,6.44,3.3,5.17
2025,1,09:00:00,25.03,7.44,6.22,3.3,5.17
2025,1,09:30:00,24.94,7.44,5.93,3.3,5.16
2025,1,10:00:00,25.36,7.4,5.44,3.3,5.17
2025,1,10:30:00,25.67,7.45,5.04,3.3,5.18
2025,1,11:00:00,25.83,7.39,4.73,3.3,5.16
2025,1,11:30:00,26.7,7.45,4.79,3.3,5.18
2025,1,12:00:00,27.02,7.34,4.16,3.3,5.21
2025,1,12:30:00,27.52,7.4,4.7,3.3,5.22
2025,1,13:00:00,28.24,7.46,4.64,3.3,5.22
2025,1,13:30:00,28.3,7.38,5.08,3.3,5.21
2025,1,14:00:00,28.68,7.39,5.18,3.3,5.22
2025,1,14:30:00,28.75,7.36,5.72,3.3,5.21
2025,1,15:00:00,28.7,7.34,5.81,3.3,5.21
2025,1,15:30:00,28.96,7.33,6.5,3.3,5.21
2025,1,16:00:00,28.59,7.47,6.85,3.3,5.22
2025,1,16:30:00,28.92,7.42,7.37,3.3,5.21
2025,1,17:00:00,27.68,7.4,7.52,3.3,5.22
2025,1,17:30:00,27.27,7.49,7.73,3.3,5.22
2025,1,18:00:00,27.09,7.4,7.44,3.3,5.22
2025,1,18:30:00,26.78,7.38,7.51,3.3,5.21
2025,1,19:00:00,26.01,7.39,7.29,3.3,5.22
2025,1,19:30:00,25.58,7.47,7.11,3.3,5.21
2025,1,20:00:00,25.16,7.44,6.89,3.3,5.21
2025,1,20:30:00,25.04,7.41,6.4,3.3,5.21
2025,1,21:00:00,24.84,7.46,6.22,3.3,5.22
2025,1,21:30:00,24.97,7.31,5.57,3.3,5.21
2025,1,22:00:00,25.16,7.47,5.31,3.3,5.21
2025,1,22:30:00,25.4,7.46,5.18,3.3,5.22
2025,1,23:00:00,25.67,7.45,4.33,3.3,5.21
2025,1,23:30:00,26.16,7.37,4.8,3.3,5.22
2025,1,00:00:00,27,7.49,4.24,3.3,5.26
2025,1,00:30:00,27.53,7.48,4.64,3.3,5.26
2025,1,01:00:00,28.16,7.53,4.43,3.3,5.25
2025,1,01:30:00,28.51,7.4,4.78,3.3,5.26
2025,1,02:00:00,29,7.5,5.2,3.3,5.26
2025,1,02:30:00,28.89,7.52,5.76,3.3,5.26
2025,1,03:00:00,29.04,7.46,5.88,3.3,5.27
2025,1,03:30:00,28.92,7.53,6.51,3.3,5.26
2025,1,04:00:00,28.63,7.55,6.43,3.3,5.26
2025,1,04:30:00,28.55,7.52,6.91,3.3,5.27
2025,1,05:00:00,28.35,7.58,7.27,3.3,5.26
2025,1,05:30:00,27.54,7.49,7.47,3.3,5.26
2025,1,06:00:00,26.98,7.63,7.72,3.3,5.26
2025,1,06:30:00,26.41,7.59,7.31,3.3,5.26
2025,1,07:00:00,25.79,7.65,7.34,3.3,5.26
2025,1,07:30:00,25.51,7.71,7.06,3.3,5.25
2025,1,08:00:00,25.33,7.54,7.1,3.3,5.26
2025,1,08:30:00,25,7.73,6.7,3.3,5.26
2025,1,09:00:00,24.95,7.5,6.07,3.3,5.26
2025,1,09:30:00,25.09,7.64,5.84,3.3,5.26
2025,1,10:00:00,25.43,7.66,5.39,3.3,5.26
2025,1,10:30:00,25.48,7.71,5.21,3.3,5.26
2025,1,11:00:00,25.88,7.64,4.72,3.3,5.26
2025,1,11:30:00,26.45,7.7,4.68,3.3,5.27
2025,1,12:00:00,26.98,7.65,4.75,3.3,5.28
2025,1,12:30:00,27.38,7.68,4.4,3.3,5.29
2025,1,13:00:00,27.82,7.73,4.6,3.3,5.28
2025,1,13:30:00,28.15,7.79,5.13,3.3,5.29
2025,1,14:00:00,28.85,7.63,5.28,3.3,5.29
2025,1,14:30:00,28.78,7.76,5.25,3.3,5.28
2025,1,15:00:00,29.11,7.78,5.69,3.3,5.28
2025,1,15:30:00,28.98,7.76,6.36,3.3,5.29
2025,1,16:00:00,28.89,7.75,6.57,3.3,5.28
2025,1,16:30:00,28.56,7.7,7.18,3.3,5.28
2025,1,17:00:00,28,7.76,7.34,3.3,5.28
2025,1,17:30:00,27.4,7.78,7.33,3.3,5.28
2025,1,18:00:00,27.02,7.9,7.66,3.3,5.29
2025,1,18:30:00,26.57,7.83,7.45,3.3,5.29
2025,1,19:00:00,26,7.8,7.38,3.3,5.28
2025,1,19:30:00,25.66,7.86,6.89,3.3,5.29
2025,1,20:00:00,25.24,7.92,6.74,3.3,5.28
2025,1,20:30:00,24.98,7.83,6.55,3.3,5.28
2025,1,21:00:00,24.94,7.91,6.05,3.3,5.28
2025,1,21:30:00,24.93,7.89,5.93,3.3,5.29
2025,1,22:00:00,25.24,7.82,4.71,3.3,5.29
2025,1,22:30:00,25.54,7.92,5.04,3.3,5.28
2025,1,23:00:00,25.91,7.86,4.78,3.3,5.29
2025,1,23:30:00,26.68,7.98,4.45,3.3,5.29
2025,1,00:00:00,27.04,7.99,4.59,3.3,5.33
2025,1,00:30:00,27.42,7.97,4.3,3.3,5.32
2025,1,01:00:00,27.92,7.87,4.81,3.3,5.32
2025,1,01:30:00,28.28,7.98,4.58,3.3,5.33
2025,1,02:00:00,28.7,7.98,5.04,3.3,5.33
2025,1,02:30:00,29.18,7.89,5.57,3.3,5.32
2025,1,03:00:00,28.92,7.98,5.93,3.3,5.32
2025,1,03:30:00,28.82,7.97,6.63,3.3,5.33
2025,1,04:00:00,28.84,8.09,6.83,3.3,5.32
2025,1,04:30:00,28.18,8.01,6.93,3.3,5.33
2025,1,05:00:00,27.9,8.02,7.16,3.3,5.32
2025,1,05:30:00,27.64,7.99,7.46,3.3,5.33
2025,1,06:00:00,26.87,8.04,7.22,3.3,5.33
2025,1,06:30:00,26.43,8.05,8,3.3,5.32
2025,1,07:00:00,25.88,8.06,7.03,3.3,5.32
2025,1,07:30:00,25.83,8,6.97,3.3,5.32
2025,1,08:00:00,25.26,8.01,6.87,3.3,5.32
2025,1,08:30:00,25.26,7.99,6.82,3.3,5.33
2025,1,09:00:00,25.3,7.97,5.99,3.3,5.32
2025,1,09:30:00,25.27,8.02,5.5,3.3,5.32
2025,1,10:00:00,25.32,8.05,5.3,3.3,5.32
2025,1,10:30:00,25.63,7.92,4.97,3.3,5.32
2025,1,11:00:00,25.82,7.98,4.86,3.3,5.32
2025,1,11:30:00,26.58,7.95,4.56,3.3,5.33
2025,1,12:00:00,27.05,8.09,4.79,3.3,5.37
2025,1,12:30:00,27.6,7.96,4.69,3.3,5.36
2025,1,13:00:00,27.86,8.04,4.68,3.3,5.37
2025,1,13:30:00,28.62,7.99,4.86,3.3,5.37
2025,1,14:00:00,28.74,7.9,5.6,3.3,5.38
2025,1,14:30:00,29.02,8.06,5.49,3.3,5.37
2025,1,15:00:00,28.63,7.9,5.83,3.3,5.37
2025,1,15:30:00,29.02,8.05,6.52,3.3,5.37
2025,1,16:00:00,28.54,7.92,6.63,3.3,5.37
2025,1,16:30:00,28.39,7.93,6.8,3.3,5.37
2025,1,17:00:00,27.72,7.98,7.15,3.3,5.37
2025,1,17:30:00,27.71,7.87,7.48,3.3,5.37
2025,1,18:00:00,27.03,7.91,7.42,3.3,5.37
2025,1,18:30:00,26.4,7.97,7.63,3.3,5.37
2025,1,19:00:00,26.13,7.9,6.87,3.3,5.37
2025,1,19:30:00,25.62,7.9,6.85,3.3,5.37
2025,1,20:00:00,25.26,7.95,6.35,3.3,5.37
2025,1,20:30:00,25.13,7.85,6.26,3.3,5.37
2025,1,21:00:00,24.98,7.86,6.1,3.3,5.37
2025,1,21:30:00,25.08,7.75,5.46,3.3,5.37
2025,1,22:00:00,25.21,7.89,5.36,3.3,5.37
2025,1,22:30:00,25.87,7.89,5.22,3.3,5.36
2025,1,23:00:00,25.95,7.97,4.71,3.3,5.37
2025,1,23:30:00,26.36,7.8,4.45,3.3,5.36
2025,1,00:00:00,26.98,7.81,4.29,3.3,5.39
2025,1,00:30:00,27.65,7.78,4.42,3.3,5.39
2025,1,01:00:00,28.2,7.81,4.51,3.3,5.39
2025,1,01:30:00,28.18,7.79,5.17,3.3,5.39
2025,1,02:00:00,28.89,7.8,5.41,3.3,5.40
2025,1,02:30:00,29.14,7.83,5.7,3.3,5.40
2025,1,03:00:00,28.89,7.74,6.03,3.3,5.40
2025,1,03:30:00,28.74,7.75,6,3.3,5.40
2025,1,04:00:00,29,7.74,6.61,3.3,5.40
2025,1,04:30:00,28.43,7.76,7.2,3.3,5.40
2025,1,05:00:00,27.78,7.71,7.09,3.3,5.40
2025,1,05:30:00,27.42,7.68,7.31,3.3,5.40
2025,1,06:00:00,27.07,7.75,7.54,3.3,5.40
2025,1,06:30:00,26.53,7.58,7.24,3.3,5.39
2025,1,07:00:00,25.99,7.71,7.14,3.3,5.40
